predicted_answer,actual_answer,사고원인,인적사고
안전 교육 강화 및 말비계 사용 지침 엄격히 준수하도록 관리 체계 개선.,작업내용 변경 시 근로자 대상 특별교육 실시와 안전사고 예방을 위한 안전교육 실시.,말비계 사용중 끝단부에서 발을 허디뎌 높이 70cm에서 바닥으로 떨어짐,떨어짐(2미터 미만)
"안전로프 즉시 설치 의무화, 정기적인 안전 점검 강화, 작업자 대상 안전 교육 실시, 안전 규정 준수 모니터링 강화.","현장 내 안전로프 설치 완료와 함께 향후 작업 사고사례 전파 및 안전관리 교육 실시, 공사 현장 사고위험 요인 확인 및 위험지역에 안전시설 설치, 감독자 주축으로 점검 실시 및 위험요인 사전 저감이 이루어짐.",배수로 주면 안전로프 미설치로 인하여 작업자가,떨어짐(2미터 미만)
"써포트 자재 특성 교육 강화와 표준화된 작업 절차 도입으로 재발 방지, 정기적 안전 점검 실시 예정.","관리감독 현장지도 활동 강화와 협착사고 예방을 위한 TBM 활동 시 교육 전파 강화, 현장 안전 관리 강화 및 동종 사고 방지 사례 전파를 위한 공문 발송 예정.",써포트 자재특성의 이해부족 및 작업방법 불량,끼임
"철근 배근 작업 시 개인 보호 장비 착용 의무화 및 정기적인 안전 교육 강화, 철근 배근 장비의 안전성 점검 및 개선 실시.",철근 배근작업 시 위험사례 전파 및 작업 시작 전 별도 교육 실시.,4구간 PIT층 TG보 철근 배근작업중 철근 배근을 위해 철근을 밀어 끼우던 중 철근사이에 왼손 엄지 손가락이 끼임.,끼임
비계 사용 시 두 손으로 손잡이를 잡고 안전하게 승하강하도록 교육 강화 및 안전 점검 실시,"비계사다리 안전기준 전파, 전체 근로자 특별교육 실시, 비계사다리 경고표지 등 눈관리 실시와 검토 및 확인된 재발 방지 계획서 준수.",두손으로 비계사다리 손잡이 잡고 승하강해야하나 한손에 도면을 잡고 이동함,넘어짐(미끄러짐)
"신호수와 장비 운용자 간의 명확한 의사소통 체계 구축 및 정기적인 안전 교육 강화를 통해 재발 방지하며, 사고 발생 시 신속한 응급 처치와 함께 사고 원인 분석을 통한 안전 지침 개선 및 관련 작업자 교육 실시 예정입니다.",안전사고 재발 방지를 위한 특별안전 교육 실시와 보호장구 착용 철저.,작업자가 신호수와 백호 장비로 H형강 조립과정 중 H형강과 H형강 사이에 손가락 끼임 사고 발생,끼임
"가설 흙막이 판넬 설치 전 철저한 사전 검토와 적절한 장비 활용을 강화하고, 인력 굴착 시 주변 토사 안정성을 엄격히 점검하며, 안전모 착용 의무화 및 주변 작업자들에게 작업 상황 공유를 의무화하여 향후 유사 사고 방지를 위한 교육을 실시합니다. 즉시 해당 구간의 작업을 중단하고 안전 보강 조치를 취한 후 재개합니다.",안전교육 철저와 감리단에 안전관리 철저 지시 공문 발송 예정.,가설 흙막이 판넬 설치 중 가설 흙막이 판넬이 잘 들어가지 않아 맨홀 주변 하부를 인력굴착 하던 도중 좌측 벽면 토사가 무너지면서 가설 흙막이 판넬 옆쪽 틈새로 토사가 밀려 넘어져 맨홀에 오른쪽 어깨가 부딪히며 발생,부딪힘
"안전 교육 강화와 정기적인 작업발판 점검 실시를 통해 재발 방지하고, 향후에는 운반작업 시 안전장비 사용 의무화 및 실시간 모니터링 시스템 도입 계획입니다.","건설사업관리단의 안전담당이 시공사와 하도급업체의 근로자에게 특별안전교육 및 작업 전후 관리의 중요성을 교육하고, 맞춤 교육을 통해 안전교육을 강화하는 조치 계획.",비계설치작업을 위해 자재(작업발판) 운반중 미끄러지면서 발판을 놓침,넘어짐(미끄러짐)
"안전 교육 강화와 작업 절차 개선을 통해 파이프 낙하 방지, 안전 장비 의무 착용 규정 시행.",근로자 안전교육 및 보안경 지급과 장비 체결 확인을 통한 낙하사고 방지 대책.,거푸집 해제 시 각파이프가 낙하하여 작업자 부상,물체에 맞음
"작업장 안전 교육 강화 및 정기적인 안전 점검 실시를 통해 재발 방지 대책을 마련하고, 향후 모든 청소작업 전 안전 확인 절차를 의무화합니다.","신규 근로자 채용 시 작업자 이동간 주의사항 교육 및 가설계단 대신 본계단 이동 동선 변경, 안전관리 철저 통보 및 감리자 실태점검.",작업자 부주의,넘어짐(기타)
작업 절차 엄격히 준수하도록 교육 강화 및 점검 체계 구축.,"작업자 특별 안전교육 실시(작업순서 준수, 안전사고 경각심 제고 등)",재해자의 단순 착오에 의한 작업순서 미준수(잔류 유압 완전 제거 전 분리 시행),물체에 맞음
작업 환경 개선 및 개인 보호 장비 최적화를 통한 장시간 노출 방지와 작업 중 휴식 시간 확보를 포함한 재발 방지 대책 및 향후 조치 계획 수립.,작업방법 변경과 고온일 경우 통풍이 잘 되지 않는 방진복 착용작업 지양을 통한 유해성분 노출 최소화.,1.동일작업(시멘트 혼합작업) 반복으로 인한 시멘트 유해성분에 장시간 노출2.방진복 착용상태 작업으로 여름철 땀 등으로 인한 피부염,기타
안전 교육 강화와 정기적인 안전 점검 실시를 통해 작업자의 균형 유지 및 안전 의식 제고.,"시스템동바리 해체 작업 중 추락방지망 사전 해체 금지와 특별안전교육 실시, 관리감독자의 상주 관리 지시.",시스템동바리 해체 작업 중 몸의 균형을 잃고 동바리 지주 링에 팔꿈치 부딪힘,부딪힘
"안전 바닥 표시 설치와 이동 시 안전 장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 추가적인 안전 교육을 실시할 계획입니다.",안전문 설치를 통한 재발 방지 대책 및 향후 조치 계획.,1층 이동 중 발을 헛디뎌 지하로 추락,떨어짐(분류불능)
원인 분석 후 턴테이블 연결부 강화 및 정기 점검 강화 계획 수립.,해당 공사 대상인 흥국건업의 외부기관 안전컨설팅 실시와 관리자 및 근로자 교육 시행을 통한 재발 방지 대책으로 교량 점검차 작업 시 외부 전문 안전점검기관의 비파괴검사 등을 실시한 후 작업 시행.,교량점검차 턴테이블 상하 연결부 피로하중에 의한 볼트 및 용접부 파단 분리,떨어짐(5미터 이상 ~ 10미터 미만)
"안전 교육 강화 및 미끄러운 표면에 대한 경고 표시 설치, 정기적인 안전 점검 실시 계획 수립.",산업재해 재발 방지 대책으로 수립된 근로자 특별안전교육과 건축현장 행정지도 시행.,새벽에 내린비로 인해 미끄러운 유공발판 상부에서 작업중 추락,떨어짐(2미터 이상 ~ 3미터 미만)
"작업 전 안전 점검 강화 및 안전 교육 실시로 재발 방지, 향후 각관 운반 및 설치 시 안전 장치 사용 의무화.",재발 방지를 위한 작업자 교육 및 안전지도 실시,상부스라브 보강을 위해 자재(각관)을 작업상단에 거치하여 작업중 각관이 떨어져 발생한 사고,물체에 맞음
안전 교육 강화 및 운반 작업 시 적절한 장비 사용 의무화 지침 마련.,"해당 작업에 대한 운반방법 변경, 안전교육 실시, 전 구간 정리정돈 및 안전작업 관리감독 실시.",게차를 사용하지 않고 인력으로 운반 중 넘어짐,넘어짐(기타)
"안전 교육 강화와 작업 중 전방 주시 의무 준수 확인, 작업 현장의 뿜칠 자재 즉시 정리 정돈 시스템 구축으로 재발 방지 대책을 마련합니다. 또한 정기적인 현장 점검과 안전 관리자의 지속적인 감독 체계를 확립하여 사고 예방에 나설 계획입니다.",작업구간 바닥 뿜칠자재 정리정돈 및 하부 합판 보양과 작업 중 수시 청소 실시.,"전방 주시 미흠, 떨어진 뿜칠 자재 정리정돈 미흡",넘어짐(미끄러짐)
"작업자 교육 강화 및 안전장비 사용 의무화, 정기적인 안전점검 실시와 사고 사례 공유를 통한 인식 제고.",작업상황에 따른 관로 파지법 교육 실시와 향후 재발 방지를 위한 교육 지시 예정.,장비에 매단 상수관의 연결작업 중 작업자의 파지법 미숙에 따라 상부에 위치한 통신관로 사이에 오른손 엄지손가락이 끼이는 사고 발생,끼임
자재 인식 교육 강화와 정기적인 작업 공간 정리정돈 점검 실시를 통해 재발 방지 대책을 마련합니다. 향후에는 자재 관리 시스템 도입을 검토합니다.,작업 전 주변 정리정돈 철저 및 주변 자재 야적상태 확인.,작업구간 범위 내 적재된 자재 미인식 및 자재 정리정돈 불량,기타
"안전 교육 강화와 명확한 지시 체계 구축을 통해 유도원의 지시 준수를 의무화하고, 장비 조작 시 안전 점검 절차를 엄격히 시행합니다. 또한, 작업자들의 주의 의무 강화를 위한 정기적인 안전 훈련 실시를 계획합니다.","유도원 및 근로자 안전교육 강화, 장비운전원 임의조작 금지 교육, 침목설치규격을 자재길이의 1.2배 이상 확보에 대한 조치 계획.",유도원의 지시없이 장비운전원 임의로 장비조작 및 재해자 부주의로 인한 사고,끼임
공구 보관 및 정리 시 안전 교육 강화 및 충돌 방지 안전 구역 설정 의무화.,"아침조회, 정기교육, TBM시 교육 실시 및 공구함 덮개 고정식 교체를 통한 재발 방지 대책과 향후 조치 계획.",23.10.29(일) 14:00분경 지상1층 T/C 2호기 측면 공구함에서 퇴근을 위한 공구 정리중 공구 보관함에 우측 갈비뼈 부분을 부딪힘.,물체에 맞음
"강재거푸집 이동 시 유압잭 사용 의무화 및 정기적인 장비 점검 강화를 통해 재발 방지 대책을 마련하고, 향후 모든 이동 작업은 사전에 승인된 안전 절차에 따라 진행되도록 관리 체계를 개선할 계획입니다.","시공계획서 준수, 작업 전 안전회의 실시, 위험작업반경 내 접근금지 및 공사 중지와 공사장 내 안전사고 관련 위험요인에 대한 긴급안전점검 실시.","강재거푸집 이동은 유압잭을 사용하여야하나, 유압 약화로 이를 보완하기 위해 와이어로프를 사용하였으나, 이는 시공계획에 포함되어있지 않은 방법으로 불안전한 상황을 야기시킴.",물체에 맞음
"안전 교육 강화와 함께 안전 발판 및 고정형 작업대 사용 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 작업자 안전 의식 제고 프로그램을 실시할 계획입니다.","안전관리의식 철저 교육, 관리감독 강화, 고소작업 시 2인 1조 편성 및 안전보건 교육 강화.",4층 내 고소작업 진행 중 사다리에서 낙하하여 팔 골절,떨어짐(분류불능)
"작업 시 동료와의 협업 강화 및 안전 교육을 통해 무리한 동작 방지를 위한 지침을 마련하고, 정기적인 안전 점검을 실시하여 재발 방지에 힘씁니다.","구체적인 작업 지시와 작업 여건을 고려한 최적의 환경 조성, 복잡하고 어수선한 작업일수록 작업방법의 적정성 검토 철저, 관리감독자 교육 및 사고 사례 전파를 통한 동종사고 재발 방지와 근로자의 불안전한 행동 및 자세로 인한 부상 예방, 관리적 조치사항의 강화, 사고 사례 전파, 근로자 교육 및 위험성 평가 재시행으로 동일한 재해 발생 방지.",동료 1인과 함께 거푸집 해체 작업 중 해체한 유로품 자재를 옮기는 과정에서 놓친 자재를 다시 잡다가 무리한 동작으로 인하여 좌측 어깨 부상,기타
현장 정리 절차 엄격히 준수하고 정기적인 안전 교육 강화하여 작업자 주의력 제고. 감리 및 시공사와 협력하여 현장 안전 점검 체계 개선.,현장 주변 정리와 상시 안전 점검을 통한 시설물 점검 및 철저한 주변 정리.,현장정리 미흡 및 작업자 부주의,"절단, 베임"
작업 시 명확한 의사소통 체계 구축 및 2인 작업 시 역할 분담 강화 지시.,"유사사고 발생 방지를 위한 철저한 재해발생 원인 조사 및 재발방지대책 수립, 현장관리자 안전교육 시행 후 작업자 안전교육 전파, 사고사례 전직원 전파 및 공유, 신규 장비와 인력 투입 시 사고사례 전파교육 시행.",2인1조 고정말뚝(약 1m) 작업중 의사소통 부재로 인해 타인의 새끼손가락 타격,부딪힘
안전교육 강화와 크레인 작업 시 인원 제한 규정 도입을 포함한 재발 방지 대책 및 향후 조치 계획 수립.,작업자들에게 안전교육을 철저히 시행하고 안전용품 착용을 철저히 하는 재발 방지 대책과 향후 조치 계획.,2023.3.5 물금 동아중학교 지진방지 작업중 물건을 4층에서 1층으로 내리는 중 크레인에 5~6명이 잡고 내리다 좌축 손가락이 부딪치면서 벽사이에 끼여 다침.,끼임
안전 발판 설치 의무화 및 정기적인 안전 점검 실시.,"항타기 등 중장비 후미에 설치된 발판 제거와 안전사다리 사용 지도, 현장 내 중장비 반입 시 장비 검수 철저 및 불안전 행동 수시 지적과 점검.",작업 정리 중 차량(항타기) 위에 설치된 콤프레셔 전원을 끄고 내려오던 중 작업편의를 위해 부적합하게 설치된 차량 발판을 밟고 미끄러져 추락함,떨어짐(2미터 미만)
둥근톱 덮개 사용 규정 강화 및 정기적인 안전 점검 실시를 통한 재발 방지 대책 마련.,둥근톱 덮개 임의 해체 금지 교육 및 수시 점검 실시와 재발 방지 대책 이행 여부 점검.,둥근톱 덮개 임의 해체,"절단, 베임"
에어포스 장비 정기 점검 강화 및 안전 교육 실시를 통해 장비 고장 예방 및 작업자 안전 의식 제고 예정.,"장비 작업 전 운전원 대상 사전 안전교육(승하강 교육) 철저 및 위험성 평가 추가 반영과 전파, 2023년 11월 20일 수술 예정과 2주 입원 치료 예상.","2023년 11월 18일 (토요일) 03시 10분 경 본선터널 1구간 시점부에서 숏크리트 머신 에어포스 파손으로 인한 교체를 위해 운전석 뒤쪽 장비 상부에 올라가 작업하는 과정에서 1.5m 아래로 추락, 이후 상부로 인양하여 119를 통해 의정부 성모병원 후송.",떨어짐(2미터 미만)
작업자 대상 안전 교육 강화 및 계단 안전 표시 설치를 통한 재발 방지 대책 및 향후 조치 계획 수립.,안전교육 및 관리감독 철저와 TBM시 작업내용 상호 확인을 통한 근로자 안전교육 실시.,처리시설 계단실 바닥 청소를 위해 기계실 측면 계단을 내려가던 중 오른쪽  발목 겹질림으로 인대 늘어남,기타
안전교육 강화와 계단발판의 미끄럼 방지 처리 개선을 포함한 재발 방지 대책 수립 및 정기적인 안전 점검 실시 계획 수립.,"올바른 말비계 승하강 방법 교육, 말비계 사용 전 단답 미끄럼방지 및 감지선 상태이상 유무 점검, 말비계 승하강 사용기준 준수에 대한 현장 밀착관리 강화.",보 수정 공정에서 작업을 마치고 내려오던 중 계단발판을 헛디뎌 미끄러짐(넘어짐),넘어짐(미끄러짐)
"분류불능 발생을 방지하기 위해 표준화된 작업 지침을 마련하고 정기적인 교육을 실시하며, 사고 원인 분석을 위한 체계적인 보고 시스템을 구축합니다. 향후에는 위험 요소 모니터링 시스템을 도입하여 사전 예방에 힘쓰겠습니다.",분류불능에 대한 재발 방지 대책과 향후 조치 계획.,기타,분류불능
비계발판 내측에도 안전난간 설치 의무화하고 정기적인 안전점검 강화하여 재발 방지 대책 및 향후 조치 계획 수립.,"작업전 위험요소에 대한 TBM 실시, 작업장 추락위험지구 안전점검 후 조치, 안전난간 설치 불가지역에 대한 별도의 추락방지조치 이행, 작업장 안전시설 설치 및 공사현장 안전관리 철저.",비계발판단부(내측) 안전난간 미설치(비계발판 외측 설치상태 양호),떨어짐(2미터 미만)
지정된 안전 통로 준수 교육 강화 및 모니터링 시스템 도입.,겨울철 근골격계 질환 예방교육 및 신규근로자 집중 관리 확인.,지정된 이동통로가 아닌 V형 측구로 이동,넘어짐(미끄러짐)
"작업 전 안전 교육 강화 및 개인 보호 장비 착용 의무화, 작업 중 두 손 사용 의무화 지침 마련 및 감독 강화를 통한 재발 방지 대책 및 향후 조치 계획 수립.","작업상태 수시 확인 및 작업지휘자의 근접관리를 철저히 하며, 회전체 공구류 사용 전 안정방호 덮개의 고성상태를 확인하고 점검을 실시하고, 핸드그라인더의 작업 적합성을 확인하며, 작업 중 적정 휴식 유무와 무리한 작업 유무를 사전 확인하고 근접관리를 실시하는 대책.",두겁 창호  설치 전  하지철물 연결부  일부 절단 작업시 한손으로 그라인더 작업중 그라인더를 순간 놓쳐 그라인더가 떨어지면서 허벅지를 베임,"절단, 베임"
안전 교육 강화와 pp로프의 시인성 향상을 위한 표시 설치 및 정기 점검 실시 계획 수립.,"생명줄 설치 시 근로자의 발에 걸리지 않도록 지상 이격, 근로자 안전교육 시 주변 정리정돈 및 이동간 걸림 위험요소 확인, 작업 전후 정리정돈 생활화를 통한 걸림 위험요소 제거, 작업 전 근로자 수시교육을 통한 작업장별 위험요소 전파 및 대응방안 마련, 안전사고 재발방지를 위한 안전대책 회의, 재발방지대책 현장 이행관리를 위한 점검 강화, 위험요소에 대한 합동 안전점검활동 강화.",이동간 바닥의 생명줄(pp로프) 인식 부족생명줄 시인성 확보관리 미흡,넘어짐(물체에 걸림)
기둥밴드 조임 상태 점검 강화 및 고정 방법을 철물이나 각재로 변경하는 안전 지침 마련. 정기적인 안전 점검 실시와 작업자 교육 강화를 통해 재발 방지.,"기둥밴드 하부 고정의 재질 설치 및 완벽한 조임, 상하 동시 작업 금지, 안전 조회 시 사고 내용 전파.","1. 기둥밴드의 조임이 완전하지 않음,2. 밴드의 고정을 철물이나 각재가 아닌 못으로하여 밴드의 하중을 견디지 못함",물체에 맞음
작업 준비 단계에서의 안전 점검 강화 및 정기적인 안전 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"조출시 사전작업 계획서 승인 후 작업 실시, 믹서기 사용 전 전원 OFF 후 점검 실시, 전 직원 및 근로자 특별안전교육 실시, 전기공구 사용 전 안전점검 후 사용, 위험작업 시 관리감독자 상주.",작업 준비중 공구 작동 과실로 인해 발생.,"절단, 베임"
"안전 교육 강화와 함께 작업 현장의 미끄러짐 위험 요소를 정기적으로 점검하고 개선하며, 작업자들에게 안전한 이동 경로와 방법을 교육합니다. 또한, 미끄러짐 방지 매트 설치와 같은 물리적 조치를 취하고, 작업 전후로 현장 상태를 철저히 점검하여 잠재적 위험을 사전에 제거합니다.",미끄럼 방지포 설치와 안전교육 강화 및 미끄럼 방지 시설물 설치를 통한 재발 방지 대책.,,넘어짐(미끄러짐)
"사고 사례 공유 및 안전 교육 강화, 미숙련 작업자에 대한 추가 훈련 제공, 그라인더 조작 교육 실시 및 감독 강화.",근로자 안전교육과 고속회전 전동공구 사용 시 안면보호구 착용을 통한 유사사례 재발 방지.,"안면보호구 미착용, 미숙련공, 그라인터 조작 미숙","절단, 베임"
"작업 중 신호체계 강화 및 정기적인 안전 교육 실시를 포함하여, 장비 운전자의 주의 의무 강화와 현장 관리 체계 개선을 통한 재발 방지 대책을 마련하고, 사고 발생 시 신속한 응급 처치와 피해자 지원 체계 구축을 향후 조치 계획으로 삼겠습니다.",현장인부 안전교육 실시와 공사현장 전반에 대한 안전관리계획 재검토 지시 예정.,신우건설 관로공 박**이 2022년 6월8일 13시40분경 성주군 가천면 용사리 639번지 인근 도로상 관로공사중 백호우 뒷쪽에서 노면청소중 백호우가 뒷쪽 현장인부를 인지하지 못하고 후진하다 장비바퀴에 끼임사고가 발생함,깔림
"작업장 안전 점검 강화와 A형 사다리 사용 시 안전 교육 의무화를 포함한 재발 방지 대책을 마련하고, 향후 모든 고소작업 시 안전 발판 설치와 작업자 안전장비 착용 의무화를 실시합니다.","전기 박스 취부 상부 작업 시 지정된 BT비계 사용, 고소작업 시 안전벨트 착용 및 안전고리 걸이 시설 설치, 작업 전 관리감독자 교육 및 안전수칙 준수교육 실시와 현장 방문 점검 후 발견된 문제점에 대한 개선 조치 및 작업 재개 조치.",재해자 최**이 9층 골조 세대내 벽체 전기 박스 정리 작업 중 작업장 주변의 서포트(동바리)를 밀면서 A형 사다리에서 떨어져 좌측 팔꿈치가 지면에 닿으면서 꺽여 골절 및 찢어짐,떨어짐(2미터 미만)
안전교육 강화와 함께 작업발판의 미끄럼 방지 장치 설치 및 정기적인 안전 점검 실시.,"현장 임시 공사중지와 미끄럼 위험성 있는 곳의 보수 및 보완, 경고표지 부착, 부상자의 산재보험 처리, 안전통로 확보 및 주의 이동, 안전교육 및 전파교육 실시.",구조물 거푸집설치 작업후 내려오다 작업발판에서 미끄러져 지면과의 충격으로 발생한 사고임,기타
"작업자 교육 강화 및 안전장비 사용 의무화, 작업 공간 정리 정돈 철저히 관리하며, 사고 예방을 위한 정기적 안전 점검 실시 계획 수립.",자재운반 시 2인 1조 작업 실시와 근로자 안전관리수칙 관련 교육 철저.,도배퍼티 작업부위에 세워져 있는 석고보드를 치우기 위해 석고보드 1장을 등에 업고 옮기던 중 같이 세워져 있던 석고보드 9매가 쓰러지며 작업자가 밑에 깔리면서 우측 고관절 골절 재해발생,깔림
"재발 방지 대책으로는 작업 표준화 및 절차 정립을 강화하고, 작업자 교육 프로그램을 확대하여 안전 의식을 고취시키며, 실시간 모니터링 시스템 도입으로 무리한 동작을 감지하고 개입할 수 있도록 합니다. 향후 조치 계획은 정기적인 안전 점검과 위험 요소 평가를 실시하고, 필요시 작업 환경 개선 및 장비 업그레이드를 진행합니다.","현장 내 전 근로자 대상 담당 관리자 배치와 2인 1조 작업 지시 및 특별 안전 교육 실시, 월간 및 일일 안전 교육 실시, 단독 작업 금지 및 관리 감독자 상주.",단독작업 및 무리한 동작으로 인한 부상.,질병
보.거푸집 제작 시 작업자 안전 교육 강화 및 안정적인 작업 자세 유지 지침 마련.,동일 사고 재발 방지를 위한 작업자 안전교육 실시와 통원치료 시행.,보.거푸집 제작중 삐끗함,넘어짐(기타)
"안전 교육 강화와 작업 절차 준수 점검을 통해 부주의로 인한 사고를 예방하고, 정기적인 안전 점검과 피드백 시스템 구축으로 지속적인 개선을 추진합니다.",주의 필요성과 향후 조치 계획의 수립.,부주의,끼임
작업 전 안전 교육 강화 및 안전 수칙 준수 점검 실시.,"작업 전 준비운동 철저 및 안전수칙 숙지, 현장 내 안전불감증 예방을 위한 지속적인 계도, 안전사고 예방을 위한 안전수칙 간판 추가 설치 및 지속적인 안전계도 실시.",작업 전 안전수칙 숙지 부족에 따른 부주의로 인해 골절상 발생,깔림
정기적인 건강 검진과 작업 환경 개선을 통한 개인 질병 관리 강화 및 안전 교육 강화로 근로자 부주의 예방.,근로자 근골격계 질환 예방 교육 및 TBM 시 체조 실시.,기존에 개인이 가지고 있던 무릎부위 개인질병 및 근로자 부주의에 의한 사고 발생,기타
"자재 이동 시 개구부 사용을 엄격히 제한하고, 안전 그물 설치를 의무화하여 추락 위험을 최소화하며 정기적인 안전 교육을 통해 작업자들의 인식을 강화한다.",안전 난간 재설치에 대한 재발 방지 대책과 향후 조치 계획.,자재를 옮기던중 비상탈출구용으로 만들어진 개구부에서 추락함,떨어짐(3미터 이상 ~ 5미터 미만)
안전 교육 강화와 현장 점검을 통한 슬러지 관리 및 철근 돌출 방지 조치를 포함한 재발 방지 대책 및 향후 조치 계획 수립.,안전교육 실시를 통한 재발 방지 대책 마련.,사무동 지하 공동구 양수작업 진행 중 바닥에 쌓여있는 슬러지를 밝고 앞으로 미끄러지는 과정에서 바닥에 돌출된 철근에 가슴을 부딪혀 발생한 사고,넘어짐(물체에 걸림)
안전장비 착용 강화 및 헤머드릴 사용 시 철근 위치 확인 절차 엄격히 준수하도록 교육 실시 계획.,공구를 이용한 작업 시 안전수칙 교육 실시와 현장 계도를 통한 안전교육 및 정리정돈 강화.,축열조 출입구 봉합작업을 위한 철근구멍을 뚫던중 헤머드릴이 철근에 걸려 핸들이 돌아감,기타
"작업 시 전산볼트 대용 철근 사용 금지 및 안전한 고정 장치 사용 의무화, 정기적인 안전 점검 실시.","임시 고정을 금지하고 정식 전산볼트를 사용하며, 공사장 출입 전 안전교육을 실시하는 조치.",A형사다리 위에서 전선관 BOX 스치로폴에 임시 고정한 철근(전산볼트대용)을 잡았을 때 빠지면서 균형을 잃고 떨어짐,떨어짐(2미터 미만)
안전 교육 강화 및 작업 절차 준수 점검 실시.,공사현장 안전관리 현장계도 조치에 대한 재발 방지 대책과 향후 조치 계획.,강판절단 중 작업자 부주의로 인한 부상,"절단, 베임"
"안전교육 강화와 작업 중 보호장구 착용 의무화를 통해 재발 방지하며, 사고자에 대한 즉각적인 의료 지원과 함께 작업 환경 개선 및 안전 점검을 지속적으로 실시할 계획입니다.",핸드그라인더 작업구역 재설정과 작업 전 안전교육 실시를 통한 안전 관리 강화.,소변기 부품을 연마중 부품일부가 비산하여 주변을 이동하던 재해자의 좌측 안구로 비산,기타
정기적인 장비 점검 강화와 과열 방지 교육 실시를 통해 장비 상태 모니터링 및 안전 수칙 준수를 의무화함으로써 재발 방지.,전동기구 사용 시 사전 작동점검 및 사용방법 숙지와 공정 관리담당 책임하에 이상유무 확인 후 작업 진행.,"외부 적벽돌  하단부 할석 작업중 전동기계(헴머드릴)에 대한 점검 미흡으로 햄머드릴의 과열로 오일이 분산되어 얼굴, 손목, 정강이 일부 부위에 1도 화상을 입음",기타
"작업 공간 확보 및 안전한 자세 유지 교육 강화, 표준 작업 절차 공유 시스템 구축, 안전한 인양작업 방법 교육 실시 및 감독 강화.",작업 전 삼정관리 실시 및 작업구간 충분히 확보 후 비계안전 난간대 하부난간 해체를 통한 들어올리는 높이 최소화 작업 진행.,"비계상부 공간 협소로 인해 불안전한 자세로 작업실시, 중량물 취급 작업방법 공유 부족, 덕트설치 인양작업 방밥이 잘못된 방법으로 작업실시",넘어짐(미끄러짐)
"작업장 소음 저감을 위한 저소음 장비 도입과 정기적인 청력 검사 실시를 포함한 재발 방지 대책을 마련하고, 향후 모든 작업자에게 필수적인 청력 보호 장비 착용을 의무화하며 교육을 강화할 계획입니다.",전 작업자 귀마게 지급 착용 및 교육 실시와 전 근로자 귀마게 지급 착용 관리 및 소음저감 작업방법 개선을 통한 재발 방지 대책 마련.,현장소음으로 인한 난청발병을 주장함.,질병
작업 중 개인 보호 장비 착용 의무화 및 무전기 사용 규정 명확히 정립하여 부주의로 인한 사고 방지. 정기적인 안전 점검과 감독 강화로 안전 의식 제고.,"중량물 취급 시 작업자와 장비 운전원 간의 철저한 통신과 작업원의 부주의 및 불안전한 행동 제거, 재해자 산재 처리 예정, 안전 교육 실시를 통한 불안전한 상태와 행동 제거, 작업 전 위험 요소 지적 확인 및 제거.",중량물 설치 중 작업원의 부주의(왼손에 무전기 소지)로 중량물과 배면 설치물 사이에 끼임 사고 발생,끼임
작업 전 디딤판 상태 점검 의무화 및 안전 교육 강화를 통해 작업자의 주의 환기 유도.,계단 발판에 식별조치와 해당 공종 전 근로자 특별교육 및 사고사례 전파.,하부로 내려오면서 디딤판을 제대로 확인하지 않은 상태에서 이동,넘어짐(미끄러짐)
작업자 안전 교육 강화 및 작업발판 안정성 점검 의무화.,"안전교육 실시, 작업표준화, 작업방법 지도 및 수정, 지도감독 강화.",2019년 08월 23일 오전 10시경 미사역 큐브앤타워 신축공사현장 지상8층에서 근로자 이**는  옹벽 거푸집 설치하기위해 우마 위에서 작업하다 작업발판이 전도되어 바닥에 무릅이 상해을 입음(작업자 부주의한 행동),넘어짐(기타)
안전 사다리 사용 의무화 및 정기 점검 강화.,"작업 전 안전교육 및 안전한 작업방법 교육 실시, 개인보호구 착용 및 관리상태 수시 점검, 관리감독자의 현장 상주를 통한 주요 위험요인 점검 및 제거, 근로자 사고 사례 전파와 안전사다리 배치를 통한 동일사고 방지.",안전 사다리를 이용하지 않고 자재에 몸을 기대어 오르내리다 자재가 탈락해서 재해자를 타격함,물체에 맞음
"사고 예방을 위해 크레인 작업 시 안전 교육 강화 및 작업자 간 소통 체계 개선을 실시하고, 안전 장비 사용 의무화 및 정기적인 안전 점검을 통해 위험 요소를 사전에 제거합니다.",작업순서 및 불완전한 행동 방지를 위한 철저한 특별 안전 교육 실시.,크레인 고리에 연결하던중  고리에 손가락이 끼어 발생함.,끼임
안전장비 착용 의무화 및 낙하 방지망 설치를 포함한 안전 교육 강화로 재발 방지 대책을 마련합니다. 정기적인 안전 점검과 위험 요소 모니터링 시스템 구축을 통해 향후 사고 예방에 힘쓰겠습니다.,안전위험성 평가 후 작업 진행 및 유사 사고 발생 예방 대책 마련.,토사물 낙하,물체에 맞음
안전 교육 강화와 현장 감독 체계 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,"작업자 안전교육 철저와 시공사 및 감리단에 대한 안전관리 교육 지시, 피해자 현황 확인 후 적절한 조치 마련.",작업자의 전방주의 부족,부딪힘
